data	port	towar	Z/W	ile ton	cena za tone w talarach			
01/01/2016	Algier	T5	Z	32	50			
01/01/2016	Algier	T1	Z	38	10	0		
01/01/2016	Algier	T2	Z	33	30	0		
01/01/2016	Algier	T3	Z	43	25	0		28
01/01/2016	Algier	T4	Z	3	80	0		
16/01/2016	Tunis	T2	Z	14	26	15		
16/01/2016	Tunis	T5	W	32	58	0		
24/01/2016	Benghazi	T2	Z	1	28	8		
24/01/2016	Benghazi	T4	Z	21	74	0		
24/01/2016	Benghazi	T5	Z	44	46	0		
19/02/2016	Aleksandria	T1	W	38	13	26		
19/02/2016	Aleksandria	T4	Z	9	59	0		
19/02/2016	Aleksandria	T5	Z	8	37	0		
19/02/2016	Aleksandria	T3	W	43	32	0		
11/03/2016	Bejrut	T3	Z	32	20	21		
11/03/2016	Bejrut	T1	Z	7	8	0		
11/03/2016	Bejrut	T2	Z	10	24	0		
11/03/2016	Bejrut	T5	W	50	61	0		
04/04/2016	Palermo	T3	Z	25	19	24		
04/04/2016	Palermo	T5	Z	33	38	0		
04/04/2016	Palermo	T1	W	7	12	0		
22/04/2016	Neapol	T4	Z	5	66	18		
22/04/2016	Neapol	T5	Z	35	41	0		
22/04/2016	Neapol	T2	W	36	35	0		
14/05/2016	Monako	T2	Z	10	23	22		
14/05/2016	Monako	T4	W	38	98	0		
08/06/2016	Barcelona	T4	Z	42	60	25		
08/06/2016	Barcelona	T1	Z	28	8	0		
08/06/2016	Barcelona	T3	Z	19	19	0		
08/06/2016	Barcelona	T2	W	4	38	0		
21/06/2016	Walencja	T4	W	42	90	13		
21/06/2016	Walencja	T5	Z	42	44	0		
21/06/2016	Walencja	T2	Z	33	26	0		
21/06/2016	Walencja	T1	Z	9	9	0		
21/06/2016	Walencja	T3	W	72	28	0		
08/07/2016	Algier	T1	W	37	12	17		
08/07/2016	Algier	T5	Z	35	42	0		
08/07/2016	Algier	T4	Z	32	66	0		
08/07/2016	Algier	T3	W	4	29	0		
23/07/2016	Tunis	T5	Z	48	43	15		
23/07/2016	Tunis	T4	W	32	92	0		
11/08/2016	Benghazi	T2	Z	9	24	19		
11/08/2016	Benghazi	T4	Z	36	65	0		
11/08/2016	Benghazi	T5	W	191	60	0		
06/09/2016	Aleksandria	T5	W	4	63	26		
06/09/2016	Aleksandria	T3	Z	8	19	0		
06/09/2016	Aleksandria	T2	Z	3	22	0		
06/09/2016	Aleksandria	T4	Z	41	59	0		
06/09/2016	Aleksandria	T1	Z	47	7	0		
27/09/2016	Bejrut	T1	W	45	12	21		
27/09/2016	Bejrut	T3	Z	40	20	0		
27/09/2016	Bejrut	T4	Z	3	63	0		
27/09/2016	Bejrut	T2	Z	17	24	0		
27/09/2016	Bejrut	T5	Z	44	40	0		
21/10/2016	Palermo	T3	Z	14	19	24		
21/10/2016	Palermo	T2	Z	23	23	0		
21/10/2016	Palermo	T1	W	2	12	0		
08/11/2016	Neapol	T4	Z	17	66	18		
08/11/2016	Neapol	T5	Z	30	41	0		
08/11/2016	Neapol	T1	Z	11	8	0		
30/11/2016	Monako	T1	W	11	12	22		
30/11/2016	Monako	T3	Z	17	20	0		
30/11/2016	Monako	T2	Z	4	23	0		
30/11/2016	Monako	T4	W	97	98	0		
25/12/2016	Barcelona	T4	Z	33	60	25		
25/12/2016	Barcelona	T2	Z	26	23	0		
25/12/2016	Barcelona	T3	W	79	31	0		
07/01/2017	Walencja	T1	Z	42	9	13		
07/01/2017	Walencja	T2	Z	42	26	0		
07/01/2017	Walencja	T4	Z	9	70	0		
07/01/2017	Walencja	T5	Z	39	44	0		
07/01/2017	Walencja	T3	Z	40	22	0		
24/01/2017	Algier	T4	Z	34	66	17		
24/01/2017	Algier	T3	Z	5	21	0		
24/01/2017	Algier	T5	W	112	59	0		
08/02/2017	Tunis	T2	Z	14	26	15		
08/02/2017	Tunis	T4	W	74	92	0		
27/02/2017	Benghazi	T2	W	43	36	19		
27/02/2017	Benghazi	T1	Z	30	8	0		
27/02/2017	Benghazi	T3	Z	14	20	0		
27/02/2017	Benghazi	T5	W	1	60	0		
25/03/2017	Aleksandria	T5	Z	35	37	26		
25/03/2017	Aleksandria	T3	Z	40	19	0		
25/03/2017	Aleksandria	T2	W	33	38	0		
15/04/2017	Bejrut	T4	W	2	97	21		
15/04/2017	Bejrut	T3	Z	12	20	0		
15/04/2017	Bejrut	T1	Z	15	8	0		
15/04/2017	Bejrut	T5	Z	1	40	0		
15/04/2017	Bejrut	T2	W	21	36	0		
09/05/2017	Palermo	T3	W	110	31	24		
09/05/2017	Palermo	T5	Z	33	38	0		
09/05/2017	Palermo	T2	Z	13	23	0		
09/05/2017	Palermo	T4	Z	37	61	0		
09/05/2017	Palermo	T1	W	86	12	0		
27/05/2017	Neapol	T5	W	68	59	18		
27/05/2017	Neapol	T4	Z	35	66	0		
27/05/2017	Neapol	T3	Z	25	21	0		
27/05/2017	Neapol	T2	Z	10	25	0		
27/05/2017	Neapol	T1	W	1	12	0		
18/06/2017	Monako	T1	Z	22	8	22		
18/06/2017	Monako	T3	Z	25	20	0		
18/06/2017	Monako	T5	Z	8	39	0		
18/06/2017	Monako	T4	Z	45	62	0		
18/06/2017	Monako	T2	W	38	37	0		
13/07/2017	Barcelona	T3	Z	29	19	25		
13/07/2017	Barcelona	T4	W	116	100	0		
26/07/2017	Walencja	T1	W	22	11	13		
26/07/2017	Walencja	T3	Z	37	22	0		
26/07/2017	Walencja	T4	Z	10	70	0		
26/07/2017	Walencja	T5	Z	42	44	0		
26/07/2017	Walencja	T2	W	5	34	0		
12/08/2017	Algier	T5	W	48	59	17		
12/08/2017	Algier	T3	Z	20	21	0		
12/08/2017	Algier	T2	Z	26	25	0		
12/08/2017	Algier	T4	W	11	94	0		
27/08/2017	Tunis	T4	Z	38	68	15		
27/08/2017	Tunis	T3	Z	14	21	0		
27/08/2017	Tunis	T5	Z	4	43	0		
27/08/2017	Tunis	T1	Z	24	9	0		
15/09/2017	Benghazi	T4	Z	30	65	19		
15/09/2017	Benghazi	T2	W	19	36	0		
11/10/2017	Aleksandria	T4	Z	43	59	26		
11/10/2017	Aleksandria	T5	W	6	63	0		
01/11/2017	Bejrut	T3	W	147	30	21		
01/11/2017	Bejrut	T1	Z	15	8	0		
01/11/2017	Bejrut	T4	Z	24	63	0		
01/11/2017	Bejrut	T2	Z	19	24	0		
01/11/2017	Bejrut	T5	W	1	61	0		
25/11/2017	Palermo	T5	Z	12	38	24		
25/11/2017	Palermo	T4	W	134	99	0		
13/12/2017	Neapol	T1	Z	26	8	18		
13/12/2017	Neapol	T4	Z	38	66	0		
13/12/2017	Neapol	T3	W	4	30	0		
04/01/2018	Monako	T2	W	44	37	22		
04/01/2018	Monako	T1	Z	21	8	0		
04/01/2018	Monako	T5	Z	10	39	0		
04/01/2018	Monako	T4	W	38	98	0		
29/01/2018	Barcelona	T5	W	22	63	25		
29/01/2018	Barcelona	T4	Z	9	60	0		
29/01/2018	Barcelona	T3	Z	6	19	0		
29/01/2018	Barcelona	T1	Z	4	8	0		
29/01/2018	Barcelona	T2	W	15	38	0		
30/01/2018	Walencja	T4	Z	48	79	1		
30/01/2018	Walencja	T3	W	6	25	0		
16/02/2018	Algier	T2	W	49	35	17		
16/02/2018	Algier	T1	Z	10	8	0		
16/02/2018	Algier	T3	Z	47	21	0		
16/02/2018	Algier	T4	Z	48	66	0		
16/02/2018	Algier	T5	Z	34	42	0		
03/03/2018	Tunis	T1	Z	5	9	15		
03/03/2018	Tunis	T5	W	34	58	0		
22/03/2018	Benghazi	T4	Z	49	65	19		
22/03/2018	Benghazi	T1	Z	16	8	0		
22/03/2018	Benghazi	T3	W	46	30	0		
17/04/2018	Aleksandria	T3	W	1	32	26		
17/04/2018	Aleksandria	T1	Z	34	7	0		
17/04/2018	Aleksandria	T4	Z	29	59	0		
17/04/2018	Aleksandria	T5	Z	5	37	0		
08/05/2018	Bejrut	T3	Z	27	20	21		
08/05/2018	Bejrut	T1	Z	40	8	0		
08/05/2018	Bejrut	T2	Z	34	24	0		
01/06/2018	Palermo	T5	Z	48	38	24		
01/06/2018	Palermo	T2	Z	21	23	0		
01/06/2018	Palermo	T4	W	184	99	0		
19/06/2018	Neapol	T2	Z	6	25	18		
19/06/2018	Neapol	T5	Z	47	41	0		
19/06/2018	Neapol	T4	Z	47	66	0		
11/07/2018	Monako	T2	W	48	37	22		
11/07/2018	Monako	T4	Z	18	62	0		
